Company ID,organization_name,organization_name_url,founded_year,headquarters_country,latitude,longitude,number_of_founders,age,hub_binary,b2b_binary,total_seed_funding_m,number_seed_rounds,number_seed_investors,avg_seed_investor_distance,minimum_seed_vc_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,degree_global,betweenness_global,closeness_global,eigenvector_global,degree_homecountry,betweenness_homecountry,closeness_homecountry,eigenvector_homecountry,success,exit_binary,funding_success,years_to_exit,last_equity_funding_type,number_lead_seed_investors,years_to_seed,regional_seed_investor_binary,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_exits_of_seed_investors,specific_lead_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_lead_funding_binary,angel_group_lead_funding_binary,micro_vc_lead_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,number_homecountry_investors,number_homecountry_lead_investors,homecountry_lead_investor,hub_lead_vc_in_seed_binary,vcs_within_50km,vcs_within_50km,top_university_count,top_university_count,top_university_ecosystem_binary,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,share_successful_startups_in_environment,distance_to_hub,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,gdp_growth_funding_year,investment_volume_first_seed_year,exit_date,max_seed_investor_distance,seed_investors_all_same_country,seed_investors_all_same_country_as_startup,seed_investors_all_same_city,earliest_seed_round_date,latest_seed_round_date,global_pca_component,homecountry_pca_component,european_investor,all_european_investor,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor,has_seed_funding,has_venture___series_unknown_funding,has_grant_funding,has_private_equity_funding,has_secondary_market_funding,has_series_a_funding,has_debt_financing_funding,has_series_b_funding,has_angel_funding,has_series_c_funding,has_series_d_funding,has_series_e_funding,has_series_f_funding,has_corporate_round_funding,has_equity_crowdfunding_funding,has_post_ipo_equity_funding,has_convertible_note_funding,has_non_equity_assistance_funding,has_pre_seed_funding,has_funding_round_funding,has_product_crowdfunding_funding,has_series_g_funding,has_series_h_funding,has_post_ipo_secondary_funding,has_post_ipo_debt_funding,first_follow_on_date,follow_on,follow_on_after_1_year,follow_on_after_2_year,follow_on_after_3_year,follow_on_after_4_year,follow_on_after_5_year
9318,eZelleron,https://www.crunchbase.com/organization/ezelleron,2007,Germany,51.0493286,13.7381437,1.0,2,False,True,7.066804,2,3,298.2278091136018,100.37440672951983,321.55762291504556,66.0,6.3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0045432017181562855,0.0001218157904810264,0.30110170260532315,6.114433457910547e-05,0.032776349614395885,0.0015862904998068925,0.3225511698285119,0.003615041981822798,True,True,False,11.0,Series B,3.0,2,False,False,False,True,True,True,True,True,12.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,6,6,True,True,6,6,0,0,False,False,0,0,0.0,0.0,120.8908573177236,0.0,0.0,0.0,100.37440672951983,298.2278091136018,434.9565202999403,0.0,510.2071868684638,3.16,6.55250788703459,2018-01-01,434.9565202999403,True,True,False,2009-12-10,2009-12-10,-0.24519665015459013,-0.22637105917655406,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2010-01-05,True,True,True,True,True,True
9304,SCHAD,https://www.crunchbase.com/organization/schad,2007,Germany,51.1776603,14.4248884,1.0,1,False,True,0.0,1,1,515.0206955303776,515.0206955303776,0.0,659.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,0.02222038658516438,0.0,0.3371391969548761,0.001399083783599097,0.1632390745501285,0.0,0.4124561737852451,0.061892437501436595,False,False,False,,Series A,,1,False,False,False,True,True,True,True,False,125.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,0,0,0,0,False,False,0,0,0.0,0.0,124.328743435643,515.0206955303776,515.0206955303776,515.0206955303776,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,515.0206955303776,True,True,False,2008-09-18,2008-09-18,1.3243960360410074,1.474967122016319,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2011-10-01,True,False,False,False,True,True
9341,Secusmart,https://www.crunchbase.com/organization/secusmart,2007,Germany,51.2254018,6.7763137,1.0,0,False,True,0.0,2,1,446.8811651734495,446.8811651734495,0.0,108.0,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.002230299025276722,2.4303257793229913e-06,0.31809863988868337,2.725514805781886e-05,0.012210796915167094,0.0,0.3181216281704424,0.00028157234203321984,True,True,False,7.0,Series A,1.0,0,False,False,False,True,True,True,True,True,31.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,0,False,True,57,57,0,0,False,False,1,0,0.0,0.0,174.68247275260293,0.0,0.0,0.0,446.8811651734495,446.8811651734495,446.8811651734495,0.0,0.0,3.16,6.668863370699788,2014-07-29,446.8811651734495,True,False,False,2007-11-30,2007-11-30,-0.3775393423266825,-0.4478249820067757,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
9345,twidox,https://www.crunchbase.com/organization/twidox,2007,Germany,50.0820384,8.2416556,3.0,1,False,True,0.0,2,1,131.45243950112317,131.45243950112317,0.0,36.0,8.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0.0007434330084255741,0.0,0.26760855625626817,4.604413198956694e-06,0.005784061696658098,0.0,0.3087923220607421,0.00025700047054047763,False,False,False,,Seed,,1,False,False,False,True,True,True,True,False,10.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,2,0,False,False,47,47,0,0,False,False,0,0,0.0,0.0,288.12368602142107,131.45243950112317,131.45243950112317,131.45243950112317,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,131.45243950112317,True,True,False,2008-01-01,2008-01-01,-0.8618692026267684,-0.5158314157719036,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
9480,Pharetis,https://www.crunchbase.com/organization/pharetis,2007,Germany,51.3406321,12.3747329,2.0,1,False,True,0.0,2,1,0.0,0.0,0.0,99.0,0.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,0.0036345613745250287,0.0,0.2927771938188083,4.6685586370298485e-05,0.02699228791773779,0.0,0.3206838965070783,0.0028838956065024026,False,False,False,,Seed,,1,True,True,False,False,False,False,False,False,9.0,False,False,False,False,False,False,2,0,False,False,False,False,False,False,False,False,2,0,False,False,5,5,0,0,False,False,0,0,0.0,0.0,147.86552184653277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,0.0,True,True,True,2008-08-01,2008-08-01,-0.45940711521990596,-0.3302095625774371,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
9509,Immunservice GmbH,https://www.crunchbase.com/organization/immunservice-gmbh,2007,Germany,53.550341,10.000654,1.0,1,True,True,0.0,1,1,370.19550915568703,370.19550915568703,0.0,659.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,0.02222038658516438,0.0,0.3371391969548761,0.001399083783599097,0.1632390745501285,0.0,0.4124561737852451,0.061892437501436595,False,False,False,,Series C,,1,False,False,False,True,True,True,True,False,125.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,48,48,1,1,True,True,2,0,0.0,0.0,0.0,370.19550915568703,370.19550915568703,370.19550915568703,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,370.19550915568703,True,True,False,2008-01-21,2008-01-21,1.3243960360410074,1.474967122016319,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
9467,stickapps,https://www.crunchbase.com/organization/toksta,2007,Germany,52.510885,13.3989367,1.0,1,True,True,0.0,2,1,932.65776777123,932.65776777123,0.0,422.0,1.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.017842392202213776,0.0,0.3605963146942986,0.001306863534871476,0.009640102827763496,0.0,0.3246883590271718,0.0005205628874886455,True,True,False,4.0,Seed,,1,False,False,False,True,True,True,True,False,74.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,0,False,False,173,173,3,3,True,True,8,3,0.375,0.375,0.0,932.65776777123,932.65776777123,932.65776777123,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,2011-05-23,932.65776777123,True,False,False,2008-09-01,2008-09-01,1.1653598846499686,-0.43236878392718403,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
9409,Protectimmun GmbH,https://www.crunchbase.com/organization/protectimmun-gmbh-2,2007,Germany,51.4818111,7.2196635,3.0,4,False,True,0.0,2,3,107.01510381683448,41.96129411597311,111.2624749145837,207.0,30.8,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.024698496613249625,0.00041246546275643386,0.34226090886238514,0.00142327301475276,0.1799485861182519,0.005332881166993789,0.422019582915741,0.06297941842292705,False,False,False,,Seed,,4,True,True,False,True,True,True,True,False,47.4,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,5,0,False,False,31,31,0,0,False,False,1,0,0.0,0.0,187.83177630677957,41.96129411597311,107.01510381683448,183.86911989850967,0.0,0.0,0.0,0.0,182.7589117943091,3.16,6.55250788703459,,183.86911989850967,True,True,False,2011-05-04,2011-05-04,1.8344602036797468,1.8049784970944396,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
9417,Microstim,https://www.crunchbase.com/organization/microstim,2007,Germany,51.6453723,6.3805449,1.0,2,False,True,1.28,1,1,113.01406726076203,113.01406726076203,0.0,659.0,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.02222038658516438,0.0,0.3371391969548761,0.001399083783599097,0.1632390745501285,0.0,0.4124561737852451,0.061892437501436595,False,False,False,,Venture - Series Unknown,,2,False,False,False,True,True,True,True,False,125.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,12,12,0,0,False,False,0,0,0.0,0.0,130.07744719763426,113.01406726076203,113.01406726076203,113.01406726076203,0.0,0.0,0.0,0.0,0.0,3.16,6.55250788703459,,113.01406726076203,True,True,False,2009-02-05,2009-02-05,1.3243960360410074,1.474967122016319,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2009-05-02,True,True,True,True,True,True
8824,Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,2007,Germany,52.510885,13.3989367,11.0,0,True,True,1.315192,2,1,0.0,0.0,0.0,698.0,0.0,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,0.006938708078638691,0.0,0.3308009722870712,7.336725891456162e-05,0.022493573264781488,0.0,0.3262681487381875,3.972695600723576e-05,True,True,True,7.0,Post-IPO Equity,1.0,0,True,True,True,False,False,False,False,False,104.0,False,False,False,False,False,False,2,2,True,True,True,True,True,True,True,True,2,2,True,True,173,173,3,3,True,True,8,3,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,6.668863370699788,2014-10-10,0.0,True,True,True,2007-01-01,2007-01-01,0.06736004185328305,-0.36864325323280556,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2014-07-08,True,False,False,False,False,False
