orig_idx,Company ID,organization_name,organization_name_url,founded_year,headquarters_country,latitude,longitude,number_of_founders,age,hub_binary,b2b_binary,total_seed_funding_m,number_seed_rounds,number_seed_investors,avg_seed_investor_distance,minimum_seed_vc_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,seed_lead_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,degree_global,betweenness_global,closeness_global,eigenvector_global,degree_homecountry,betweenness_homecountry,closeness_homecountry,eigenvector_homecountry,success,exit_binary,funding_success,years_to_exit,last_equity_funding_type,seed_investors_all_same_country,seed_investors_all_same_city,earliest_seed_round_date,latest_seed_round_date,global_pca_component,homecountry_pca_component,european_investor,all_european_investor,dach_investor,all_dach_investor,has_seed_funding,has_venture___series_unknown_funding,has_grant_funding,has_private_equity_funding,has_secondary_market_funding,has_series_a_funding,has_debt_financing_funding,has_series_b_funding,has_angel_funding,has_series_c_funding,has_series_d_funding,has_series_e_funding,has_series_f_funding,has_corporate_round_funding,has_equity_crowdfunding_funding,has_post_ipo_equity_funding,has_convertible_note_funding,has_non_equity_assistance_funding,has_pre_seed_funding,has_funding_round_funding,has_product_crowdfunding_funding,has_series_g_funding,has_series_h_funding,has_post_ipo_secondary_funding,has_post_ipo_debt_funding,has_initial_coin_offering_funding,log_years_to_exit,closeness_homecountry_zero,closeness_homecountry_positive,closeness_global_zero,closeness_global_positive
5023,7378,Delicious Data,https://www.crunchbase.com/organization/noyanum,2017,Germany,48.1371079,11.5753822,2.0,2,True,True,0.0,6,4,0.34098301760968935,0.06151340423856037,543.0545153718625,64.66666666666667,14.2,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,0.0047926802701328,0.0001607057147691,0.3170687710121048,0.000112507965511,0.0250347705146036,0.0006096103733851,0.3404374396093947,0.0057649548291819,False,False,False,,Venture - Series Unknown,False,False,2019-08-14,2022-10-01,-0.17890286765719968,0.12984634775349208,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3404374396093947,0,0.3170687710121048
5025,7372,Dogo GmbH,https://www.crunchbase.com/organization/dogo,2017,Germany,52.510885,13.3989367,4.0,1,True,False,6.0,10,7,3.6018004063658053,0.0,4771.8838392227335,77.1,3.6,True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,0.0100210587466414,0.0006402342661541,0.3556679189087117,0.0009561445736765,0.0421882243857209,0.0026023573488114,0.3778269358117705,0.0007723413054105,False,False,False,,Seed,False,False,2018-10-01,2021-11-19,1.0058149450251093,0.7702637948273579,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,0,0.3778269358117705,0,0.3556679189087117
5026,7366,troy,https://www.crunchbase.com/organization/troy,2017,Germany,51.6747074,8.347194,3.0,1,False,True,0.0,2,2,0.12510045858116184,0.1197702856616838,39.393622986820795,221.0,12.3,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,0.0230193885701837,0.0,0.3460667996352872,0.0014589604635191,0.1353732035234121,0.0,0.4117189630058698,0.0576198790148201,False,False,False,,Venture - Series Unknown,True,False,2018-09-04,2018-09-04,1.1872511974737516,3.6938882419294674,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.4117189630058698,0,0.3460667996352872
5027,7362,Neotiv,https://www.crunchbase.com/organization/neotiv,2017,Germany,52.1315889,11.6399609,4.0,1,False,True,20.038734,3,6,1.3618317019819284,0.302427884586171,2193.1745333694785,139.5,17.0,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0247621813956865,0.0005934119526088,0.3501820877204743,0.0014654446083252,0.1446453407510431,0.0063057833403059,0.4164842287814008,0.0578461513168469,False,False,False,,Seed,False,False,2018-01-19,2022-11-09,1.9737295067247178,4.756346297053295,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.4164842287814008,0,0.3501820877204743
5028,7359,Sympatient,https://www.crunchbase.com/organization/sympatient,2017,Germany,53.550341,10.000654,3.0,3,True,False,3.5452,2,1,0.7174001604995296,0.0,0.0,160.0,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,0.0046474475346743,3.508054578898791e-05,0.3202511090506717,0.000161115078775,0.0027816411682892,0.0,0.3165954369761836,0.000204537869051,False,False,False,,Series A,True,False,2020-05-28,2020-05-28,-0.29968745466885993,-0.61268241715206,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3165954369761836,0,0.3202511090506717
5029,7387,Climedo,https://www.crunchbase.com/organization/climedo-health,2017,Germany,48.1371079,11.5753822,3.0,2,True,True,11.372826,4,2,0.641639332694763,0.503232713780143,497.4174761446559,58.333333333333336,11.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0036308183864643,7.373271856612451e-05,0.3275780123880988,0.0001401366546797,0.0115901715345387,0.0004819204970194,0.3180505335576544,2.4590273721993862e-05,False,False,False,,Seed,False,False,2019-05-27,2022-02-16,-0.2805129855800789,-0.3775847859088555,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.3180505335576544,0,0.3275780123880988
5033,7343,alphin,https://www.crunchbase.com/organization/freachly-gmbh,2017,Germany,52.510885,13.3989367,6.0,1,True,True,0.0,2,2,0.6901689435754021,0.8771051733706614,456.08479910649686,311.0,27.0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,0.0112555369980393,0.0006547157739884,0.3599263524601255,0.0004745327471891,0.0333796940194714,0.0004728580037894,0.3695238998430173,0.0002935868437258,False,False,False,,Venture - Series Unknown,False,False,2018-06-26,2018-06-26,1.111944376391725,0.2649273796085022,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.3695238998430173,0,0.3599263524601255
5034,7407,Lindera GmbH,https://www.crunchbase.com/organization/lindera-gmbh,2017,Germany,52.510885,13.3989367,1.0,1,True,True,0.0,4,1,0.0,0.0,0.0,48.0,7.5,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0023237237673371,0.0,0.3245733104174799,0.000133448996138,0.0115901715345387,0.0,0.3169300455056634,5.8163887624108294e-05,False,False,False,,Series A,True,True,2018-01-01,2019-12-02,-0.4716344868233568,-0.44738376079564324,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.3169300455056634,0,0.3245733104174799
5036,7287,Operations1,https://www.crunchbase.com/organization/cioplenu-gmbh,2017,Germany,48.3690341,10.8979522,2.0,1,False,True,9.237062,4,2,0.20205081090251822,0.0563971261915375,268.39078068274296,75.66666666666667,4.3,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0057366930506136,4.140367116291515e-05,0.3346433046386938,5.771654373353749e-05,0.0254983773759851,0.0005221897289703,0.3696757485793407,0.0002600380831036,False,False,False,,Series A,True,False,2018-06-14,2020-02-27,-0.12431937344414289,0.12177681398916096,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3696757485793407,0,0.3346433046386938
5041,7280,PlusDental,https://www.crunchbase.com/organization/sunshine-smile,2017,Germany,52.510885,13.3989367,3.0,1,True,True,22.736988,4,2,0.5454391266843113,0.0,202.95109227395008,63.5,5.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0018880255609614,0.0001588654193661,0.3102588031419784,1.2922890537711342e-05,0.0041724617524339,0.0,0.3043321834126609,9.35148858231563e-06,True,True,True,5.0,Angel,False,False,2018-06-01,2019-01-21,-0.4350704360303953,-0.6441397858951565,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6094379124341003,0,0.3043321834126609,0,0.3102588031419784
5044,7279,WORKERBASE,https://www.crunchbase.com/organization/workerbase,2017,Germany,48.1371079,11.5753822,3.0,0,True,True,5.53915,4,3,0.6070376779661081,0.503232713780143,399.7104719019557,123.0,4.8,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,0.0088591968629729,9.32850873628347e-05,0.3515281033785504,0.0002723969394064,0.0199350950394065,0.0004346628980063,0.3325715098587156,2.331863774957091e-05,False,False,False,,Series A,False,False,2017-12-17,2019-05-06,0.27505472534306263,-0.1625146800114186,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3325715098587156,0,0.3515281033785504
5045,7425,understand.ai,https://www.crunchbase.com/organization/understand-ai,2017,Germany,49.0068705,8.4034195,2.0,1,False,True,5.6,2,3,2.3010149292826902,0.6669838728393942,3326.0897841669535,48.333333333333336,8.3,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,0.0029772710769007,5.405337342618567e-05,0.3334403862457645,0.0001439071256275,0.0069541029207232,0.0001789803935827,0.3288634378241,0.0002128273891567,True,True,False,2.0,Seed,False,False,2018-01-16,2018-01-16,-0.3072368263298957,-0.4555681059316274,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6931471805599453,0,0.3288634378241,0,0.3334403862457645
5050,7429,StackFuel,https://www.crunchbase.com/organization/datax-2,2017,Germany,52.510885,13.3989367,2.0,1,True,True,3.312584,4,3,0.9300138733811858,0.2549160007977418,993.2522811440964,332.6666666666667,5.7,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,0.0148863553845036,0.0006516204069467,0.3616000089968756,0.0010153077011245,0.0120537783959202,0.0012124136440466,0.3362384354953562,0.0002664595594189,False,False,False,,Seed,False,False,2018-03-23,2020-04-20,1.4011180251977837,-0.18442147063824862,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3362384354953562,0,0.3616000089968756
5053,7274,Workpath,https://www.crunchbase.com/organization/workpath,2017,Germany,48.1371079,11.5753822,2.0,2,True,True,0.0,3,2,0.46838345036325,0.433534186946357,318.12897947312973,341.5,8.8,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.023600319512018,0.0001564698328614,0.3504183141692873,0.0015801518876592,0.1376912378303199,0.0010502233297754,0.4181296463712877,0.0576284548652615,False,False,False,,Series A,True,False,2019-09-01,2020-10-14,1.4313896278746767,3.9092146038221163,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.4181296463712877,0,0.3504183141692873
5054,7272,EcoG,https://www.crunchbase.com/organization/ecog,2017,Germany,48.0261846,11.5962489,3.0,0,True,True,3.550716,4,4,4.874861719010759,8.420391941024219,5383.543680820328,77.33333333333333,5.8,False,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,0.0331856800522837,0.0010121433225631,0.3866871939945745,0.0472468675321484,0.033843300880853,0.0021475312732741,0.3534797383763558,0.000741050830202,False,False,False,,Series A,False,False,2017-07-24,2020-08-25,5.5925769928753555,0.4432881991009914,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,0,0.3534797383763558,0,0.3866871939945745
5055,7292,Thryve,https://www.crunchbase.com/organization/thryve-3373,2017,Germany,52.510885,13.3989367,2.0,0,True,True,0.0,4,3,0.09943927236700324,0.0,170.46732405771985,21.25,2.2,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,0.0034129692832764,0.0001118279107372,0.3122731315823163,3.2318411683506713e-05,0.0185442744552619,0.0011663060031876,0.3467357618685009,0.0002348768283365,False,False,False,,Series A,True,False,2017-12-12,2019-01-01,-0.3643517580054972,-0.02260998713417989,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0,0.3467357618685009,0,0.3122731315823163
5059,7414,keleya,https://www.crunchbase.com/organization/keleya,2017,Germany,52.510885,13.3989367,3.0,3,True,False,0.0,2,1,0.5264909530185515,0.5264909530185515,0.0,82.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0021058746641492,0.0,0.3247518748434267,0.0001661878407628,0.0037088548910523,0.0,0.2956312632822299,4.318415921952661e-06,False,False,False,,Series A,True,False,2020-04-30,2020-04-30,-0.48396610444423976,-0.690819780266912,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,0,0.2956312632822299,0,0.3247518748434267
5060,7415,Betteries,https://www.crunchbase.com/organization/betteries,2017,Germany,52.510885,13.3989367,2.0,3,True,True,4.942834,4,3,2.9903448118637077,0.8771051733706614,4471.048120892555,18.666666666666668,3.0,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,0.0011618618836685,4.516348863250322e-05,0.3078610512081595,1.044756148136194e-05,0.0018544274455261,0.0008467921243601,0.3059884129822536,0.0002008837673928,False,False,False,,Seed,False,False,2020-04-11,2021-03-29,-0.6241537411362759,-0.5608922124843432,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3059884129822536,0,0.3078610512081595
