Investor ID,Degree_Global,Betweenness_Global,Closeness_Global,Eigenvector_Global,Degree_HomeCountry,Betweenness_HomeCountry,Closeness_HomeCountry,Eigenvector_HomeCountry
11,0.026397930972977792,0.02444925258383591,0.382964345830775,0.0054224229273214936,0.5652173913043478,0.3159326181065311,0.644122383252818,0.42266193909134636
248,0.00811558013020601,0.00048759783323855697,0.3211829135265342,0.00039931915138198245,0.08,0.008072501072501072,0.31600849256900215,0.09142185287907921
222,0.01016677071256577,0.0008107931644544796,0.32679858299121944,0.0005553278264187194,0.10666666666666667,0.011625268125268123,0.32640350877192986,0.13034057596133486
148,0.009631677517167573,0.0023232888656418674,0.32343716964325353,0.0007155174407682511,0.10666666666666667,0.01534651534651535,0.33297539149888145,0.13431540723974122
204,0.011058592704896102,0.0014957855775428969,0.32468463443141843,0.000414147184760645,0.011652542372881356,0.002624257467240848,0.20885883846026854,0.005117937819841846
223,0.007937215731739944,0.0002567239248875248,0.31185181117631905,0.00011282770723344182,0.006355932203389831,0.00023448463744548824,0.1895499734681774,0.0023618067911812405
208,0.007937215731739944,0.0002567239248875248,0.31185181117631905,0.00011282770723344182,0.10666666666666667,0.011005148005148005,0.3375056689342404,0.1823261584349363
194,0.002229554980825827,0.00019959288647685057,0.3081041971918658,0.00011388989834035074,0.14666666666666667,0.05031337181337182,0.36480392156862745,0.20310074225194025
4,0.02256309640595737,0.017478783838500545,0.38847482440891484,0.009822239538528149,0.029661016949152543,0.026213437016151656,0.27229004125190565,0.17899757094336763
106,0.02086863462052974,0.0052904727762945955,0.3546714318789061,0.00219381086158825,0.0,0.0,0.0,3.0243217209864372e-21
20,0.04173726924105948,0.004971396679167389,0.36672780305826996,0.09370347183795012,0.019067796610169493,0.002295371941638755,0.2228792455461679,0.007952875323125583
166,0.018906626237403013,0.0031191825026028173,0.34056049573337194,0.001238760148110524,0.16,0.07041930891930895,0.3876041666666667,0.25651571719389743
292,0.0020511905823597607,1.1219922942399615e-05,0.29430494239980576,0.0005828150849536838,0.0,0.0,0.0,2.75224790477538e-20
56,0.004905020957816819,0.0005442379758155523,0.3253169316747123,0.0007287629241487283,0.006355932203389831,0.004054559464014971,0.2124806680289437,0.0023825206437090582
42,0.010345135111031837,0.0027114839196949138,0.3510380759967739,0.0014697928599750622,0.034129692832764506,0.0027989677208707276,0.3192086267025444,0.05884324447126818
253,0.002497101578524926,0.0001905276004408859,0.31091768866857866,0.00013731492373173757,0.0,0.0,0.0,7.571213536348233e-14
193,0.005172567555515918,0.0018582847857469703,0.3103040472095474,0.0008284149165785882,0.013333333333333334,0.0,0.2597556719022688,0.028460833197724654
239,0.00044591099616516543,1.0162389939950401e-05,0.26656067723540805,1.1523155875840823e-05,0.02666666666666667,0.0013303303303303302,0.2696376811594203,0.0218868925280335
138,0.006599482743244448,0.0016737023206545919,0.3149941263533115,0.0003057276816601416,0.09333333333333334,0.011923852423852422,0.31600849256900215,0.24559056217495767
158,0.0009810041915633639,7.327545124566475e-05,0.27421107601009886,2.7117059424809083e-05,0.04,0.0021081081081081084,0.2711111111111111,0.05193733077501184
192,0.0036564701685543564,0.0005079994067038032,0.2986373084513336,5.6398982355033396e-05,0.005037783375314861,0.0,0.2096641333235063,0.0005547589445681624
112,0.010345135111031837,0.004061104788853863,0.3557098630076439,0.0005358663888821878,0.2,0.10864927264927264,0.41344444444444445,0.27745020906775075
134,0.0015160973869615623,0.0005280888540328127,0.29188641592655196,3.666339738810972e-05,0.06666666666666667,0.014689403689403687,0.32008602150537635,0.07398919353754685
238,0.001248550789262463,0.0003882358827621592,0.29365017695445356,0.0002270709705654633,0.05333333333333334,0.005007722007722008,0.31600849256900215,0.09285178189703902
257,8.918219923303308e-05,0.0,0.232609887353852,5.208468076682297e-07,0.0,0.0,0.0,1.225932432081979e-69
38,0.0002675465976990992,0.0,0.25577682821497516,1.1528739966355848e-05,0.0,0.0,0.0,2.9103830455039638e-11
78,0.00695621154017658,0.0017131540314960121,0.35365074402294816,0.0011716414104447322,0.01877133105802048,0.0015811459158257476,0.29864687698564835,0.03013152802592919
