Round ID,Company ID,Organization Name,Organization Name URL,Organization Founded Year,Investor ID,Investor Name,Investor URL,Investor Founded Date,Investor Longitude,Investor Latitude,Company Longitude,Company Latitude,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits,Lead,Specific VC Binary,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Target VC,Distance km,Local Investor,Announced Date,Investment Year,Investor Founded Year,Investor Age at Investment,num_investors,Syndication Role,Seed Investor Same City,Seed Lead Investor Same City,Country,Headquarters Country,Homecountry Investor,Homecountry Lead Investor,Seed Investor Within 50km,Seed Lead Investor Within 50km,Investor Distance to Hub,Hub_VC_Flag,Hub_Lead_VC_Flag
000011,000033,Plenti,https://www.crunchbase.com/organization/plenti-4680,2018,000223,NCBR Investment Fund ASI S.A.,https://www.crunchbase.com/organization/ncbr-investment-fund-asi-s-a,,-86.950845,39.4442104,21.0067249,52.2319581,8,8.0,2,0.0,False,False,False,False,False,False,False,7685.874168582277,False,2023-02-09,2023,,,5,Co-Investor,False,False,United States,Poland,False,False,False,False,6032.012738542813,False,False
000011,000033,Plenti,https://www.crunchbase.com/organization/plenti-4680,2018,000208,4growth VC,https://www.crunchbase.com/organization/4growth-vc,,21.0067249,52.2319581,21.0067249,52.2319581,10,9.0,6,0.0,True,False,False,False,False,False,False,0.0,True,2023-02-09,2023,,,5,Lead,True,True,Poland,Poland,True,True,True,True,0.0,True,True
000011,000033,Plenti,https://www.crunchbase.com/organization/plenti-4680,2018,000148,AIP Seed,https://www.crunchbase.com/organization/aip-seed,2009-01-01,21.0067249,52.2319581,21.0067249,52.2319581,27,24.0,21,1.0,False,False,False,False,False,False,False,0.0,True,2023-02-09,2023,2009.0,14.0,5,Co-Investor,True,False,Poland,Poland,True,False,True,False,0.0,True,False
000011,000033,Plenti,https://www.crunchbase.com/organization/plenti-4680,2018,000222,Montis Capital Group,https://www.crunchbase.com/organization/montis-capital-group,2018-11-01,21.0067249,52.2319581,21.0067249,52.2319581,8,7.0,4,0.0,False,True,False,False,False,False,False,0.0,True,2023-02-09,2023,2018.0,5.0,5,Co-Investor,True,False,Poland,Poland,True,False,True,False,0.0,True,False
000011,000033,Plenti,https://www.crunchbase.com/organization/plenti-4680,2018,000204,Pointer.Capital,https://www.crunchbase.com/organization/pointer-capital-25a0,2021-01-01,-75.1379574,38.7733961,21.0067249,52.2319581,11,11.0,2,1.0,False,True,False,False,False,False,False,7077.003512351333,False,2023-02-09,2023,2021.0,2.0,5,Co-Investor,False,False,United States,Poland,False,False,False,False,5328.724164613666,False,False
000013,000103,Kogena,https://www.crunchbase.com/organization/kogena,2018,000004,Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,2006-01-01,-122.036349,37.3688301,17.0326689,51.1089776,"2,068",,239,194.0,False,False,True,False,False,False,True,9398.598790756076,False,2023-07-12,2023,2006.0,17.0,2,Co-Investor,False,False,United States,Poland,False,False,False,False,8195.194100247714,False,False
000013,000103,Kogena,https://www.crunchbase.com/organization/kogena,2018,000194,JR Holding,https://www.crunchbase.com/organization/jr-holding-09be,2011-01-01,19.9368564,50.0619474,17.0326689,51.1089776,13,13.0,8,0.0,True,False,False,False,False,False,False,235.7610105830191,False,2023-07-12,2023,2011.0,12.0,2,Lead,False,False,Poland,Poland,True,True,False,False,252.56392777356123,False,False
000014,000372,OstendiHR,https://www.crunchbase.com/organization/ostendi-global,2018,000224,Smartlink Partners,https://www.crunchbase.com/organization/smartlink-partners,,21.0067249,52.2319581,21.0067249,52.2319581,8,8.0,6,0.0,True,False,False,False,False,False,False,0.0,True,2023-10-02,2023,,,1,Lead,True,True,Poland,,False,False,True,True,0.0,True,True
000015,000120,Apeiron Synthesis,https://www.crunchbase.com/organization/apeiron-synthesis,2009,000214,Aper Ventures,https://www.crunchbase.com/organization/aper-ventures,2019-01-22,21.0067249,52.2319581,17.0326689,51.1089776,9,9.0,7,0.0,True,False,False,True,False,False,False,301.1089548473384,False,2022-12-21,2022,2019.0,3.0,1,Lead,False,False,Poland,,False,False,False,False,0.0,True,True
000016,000157,Fluence.technology,https://www.crunchbase.com/organization/fluence-technology-6726,2016,000194,JR Holding,https://www.crunchbase.com/organization/jr-holding-09be,2011-01-01,19.9368564,50.0619474,21.0067249,52.2319581,13,13.0,8,0.0,True,False,False,False,False,False,False,252.56392777356123,False,2022-12-07,2022,2011.0,11.0,1,Lead,False,False,Poland,Poland,True,True,False,False,252.56392777356123,False,False
