Company ID,organization_name,organization_name_url,founded_year,headquarters_country,latitude,longitude,number_of_founders,age,hub_binary,b2b_binary,total_seed_funding_m,number_seed_rounds,number_seed_investors,avg_seed_investor_distance,minimum_seed_vc_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,success,exit_binary,funding_success,years_to_exit,last_equity_funding_type,number_lead_seed_investors,years_to_seed,regional_seed_investor_binary,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_exits_of_seed_investors,specific_lead_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_lead_funding_binary,angel_group_lead_funding_binary,micro_vc_lead_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,number_homecountry_investors,number_homecountry_lead_investors,homecountry_lead_investor,hub_lead_vc_in_seed_binary,vcs_within_50km,vcs_within_50km,top_university_count,top_university_count,top_university_ecosystem_binary,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,share_successful_startups_in_environment,distance_to_hub,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,gdp_growth_founding_year,investment_volume_first_seed_year,exit_date,max_seed_investor_distance,seed_investors_all_same_country,seed_investors_all_same_country_as_startup,seed_investors_all_same_city,earliest_seed_round_date,latest_seed_round_date,european_investor,all_european_investor,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor
20922,VivaBioCell,https://www.crunchbase.com/organization/vivabiocell,2007,Italy,46.0634632,13.2358377,1.0,0,False,True,0.606434,1,3,332.5943512659848,15.371837247973229,655.0524242072406,1.3333333333333333,121.0,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,8.0,Seed,,0,True,True,False,True,True,True,True,False,1.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,2,0,False,False,3,3,0,0,False,False,0,0,0.0,0.0,262.59217926763625,15.371837247973229,332.5943512659848,920.1583066190592,0.0,0.0,0.0,56.20225798683955,982.1998132178346,3.16,4.86599480426999,2015-06-23,920.1583066190592,False,False,False,2007-07-12,2007-07-12,True,True,False,False,False,False,False,False
1711,Safetica Technologies,https://www.crunchbase.com/organization/safetica-technologies,2007,Czech Republic,50.0596288,14.4464593,1.0,5,True,True,5.076417,3,3,47.91774061367713,0.0,95.83548122735426,5.5,2.0,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,Venture - Series Unknown,2.0,5,True,True,True,True,True,True,True,False,2.8,False,False,False,False,False,False,5,3,True,True,True,True,True,True,True,True,5,3,True,True,124,124,0,0,False,False,1,0,0.0,0.0,0.0,0.0,95.83548122735426,287.5064436820628,0.0,0.0,0.0,0.0,287.5064436820628,3.16,1.824549292051046,,287.5064436820628,False,False,False,2012-03-27,2016-02-29,True,True,False,False,False,False,False,False
20933,JobSlot,https://www.crunchbase.com/organization/jobslot,2007,Italy,45.4641943,9.1896346,3.0,4,True,False,0.0,1,1,248.6898434107342,248.6898434107342,0.0,78.0,6.0,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,Seed,,4,False,False,False,True,True,True,True,False,19.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,185,185,1,1,True,True,0,0,0.0,0.0,0.0,248.6898434107342,248.6898434107342,248.6898434107342,0.0,0.0,0.0,0.0,0.0,3.16,4.680277658474897,,248.6898434107342,True,True,False,2011-02-04,2011-02-04,True,True,False,False,False,False,False,False
10017,TunHub,https://www.crunchbase.com/organization/tunhub,2007,Germany,52.510885,13.3989367,1.0,9,True,True,0.0,1,1,6385.086074905369,6385.086074905369,0.0,362.0,5.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,Seed,,9,False,False,False,True,True,True,True,False,33.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,0,False,False,539,539,3,3,True,True,8,5,0.625,0.625,0.0,6385.086074905369,6385.086074905369,6385.086074905369,0.0,0.0,0.0,0.0,0.0,3.16,7.244941546337007,,6385.086074905369,True,False,False,2016-07-08,2016-07-08,False,False,True,True,True,True,False,False
7528,SEPMAG Technologies,https://www.crunchbase.com/organization/sepmag-technologies,2007,Spain,41.3825802,2.177073,1.0,2,True,True,1.146041,1,1,404.19971234359775,404.19971234359775,0.0,223.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,,Seed,,2,False,False,False,True,True,True,True,False,44.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,256,256,2,2,True,True,5,2,0.4,0.4,0.0,404.19971234359775,404.19971234359775,404.19971234359775,0.0,0.0,0.0,0.0,0.0,3.16,5.268373490174964,,404.19971234359775,True,True,False,2009-02-25,2009-02-25,True,True,False,False,False,False,False,False
7530,EscapadaRural,https://www.crunchbase.com/organization/escapadarural-com,2007,Spain,41.3825802,2.177073,2.0,1,True,False,0.256,1,3,0.0,0.0,0.0,74.66666666666667,5.3,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,12.0,Seed,,1,True,True,False,False,False,False,False,False,21.7,False,False,False,False,False,False,3,0,False,False,False,False,False,False,False,False,3,0,False,False,256,256,2,2,True,True,5,1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,5.573294066502264,2019-12-01,0.0,True,True,True,2008-12-04,2008-12-04,True,True,False,False,False,False,False,False
7550,eRepublik,https://www.crunchbase.com/organization/erepublik,2007,Spain,40.4237276,-3.6899043,2.0,1,True,False,1.113826,1,11,4581.19680684554,1051.2604401551862,5093.955796490692,31.363636363636363,11.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,Series A,,1,False,False,False,True,True,True,True,False,14.1,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,0,0,False,False,248,248,2,2,True,True,4,0,0.0,0.0,1.3966316113990815,1051.2604401551862,4581.19680684554,9362.85573231762,0.0,0.0,0.0,0.0,9085.362136774373,3.16,5.573294066502264,,9362.85573231762,False,False,False,2008-06-10,2008-06-10,True,False,True,True,True,False,False,False
7557,Camaloon,https://www.crunchbase.com/organization/camaloon,2007,Spain,41.3825802,2.177073,1.0,5,True,True,1.13539,2,3,2387.6563669271304,0.0,4775.312733854261,115.75,6.5,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,,Seed,,5,True,True,False,True,True,True,True,False,25.5,False,False,False,False,False,False,3,0,False,False,False,False,False,False,False,False,3,0,False,False,256,256,2,2,True,True,5,2,0.4,0.4,0.0,0.0,2387.6563669271304,9550.625467708522,0.0,0.0,0.0,0.0,9550.625467708522,3.16,4.61512051684126,,9550.625467708522,False,False,False,2012-01-20,2014-11-28,True,False,True,True,True,False,False,False
10006,HAPILA GmbH,https://www.crunchbase.com/organization/hapila-gmbh,2007,Germany,50.8765528,12.0832674,1.0,1,False,True,0.0,2,2,350.2847382992879,350.2847382992879,0.0,662.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,Seed,,1,False,False,False,True,True,True,True,False,125.5,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,2,0,False,False,6,6,0,0,False,False,0,0,0.0,0.0,190.3206019763728,350.2847382992879,350.2847382992879,350.2847382992879,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,350.2847382992879,True,True,False,2008-09-23,2008-09-23,True,True,False,False,False,False,True,True
20981,SHADO,https://www.crunchbase.com/organization/shado,2007,Italy,45.6279075,12.3747797,1.0,0,False,True,0.0,1,1,0.0,0.0,0.0,78.0,2.0,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,Seed,,0,True,True,False,False,False,False,False,False,19.0,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,False,1,0,False,False,10,10,0,0,False,False,1,0,0.0,0.0,248.68984341073423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,4.86599480426999,,0.0,True,True,True,2007-05-01,2007-05-01,True,True,False,False,False,False,False,False
