company_id,organization_name,founded_year,headquarters_country,number_of_founders,age,hub_binary,b2b_binary,years_to_seed,total_seed_funding_m,number_seed_rounds,avg_seed_investor_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,degree_global,betweenness_global,closeness_global,eigenvector_global,degree_homecountry,betweenness_homecountry,closeness_homecountry,eigenvector_homecountry,success,exit_binary,funding_success
1580,Naoden,2015,France,3.0,5,False,True,5,1.291666,1,517.2942541736674,363.82697326608866,83.0,12.5,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,0.0027594219737128,0.0001122697518602,0.3101254381639114,0.0001153896798741,0.0070921985815602,0.0005452013101557,0.289757913446751,0.0030378723325831,False,False,False
2014,Voxygen,2011,France,1.0,2,False,True,2,2.794660476152623,1,526.0773735146136,0.0,230.0,3.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0085687313920557,0.0002959946232574,0.3258928134486132,0.0003041366392217,0.0212765957446808,0.0012857037104578,0.3369507445972823,0.004995022518109,False,False,False
2015,Camping and Co,2008,France,2.0,2,False,False,2,2.794660476152623,1,321.4621541335589,0.0,56.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0013797109868564,0.0001410350136929,0.2889742484003958,2.094077981082001e-06,0.0106382978723404,0.0,0.2819489249818189,0.0004836398030549,True,True,False
1418,Shadow,2015,France,3.0,0,True,True,0,2.794660476152623,2,0.0,0.0,42.0,2.0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,0.0021058746641492,0.0001410350136929,0.3116960138996205,2.367396768810284e-05,0.0177304964539007,0.0,0.3203422687620167,0.0044101223278715,True,False,True
1377,Velco,2015,France,3.0,2,False,True,2,0.538456,1,342.3375072803381,0.0,7.0,9.0,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,0.0010892455159392,0.0001824445265798,0.3034158716645356,9.94423819562578e-06,0.001418439716312,0.0001925765973947,0.2499640430491494,0.0001237846153643,False,False,False
1448,Keen Eye Technologies,2015,France,1.0,1,True,True,1,1.596254,1,0.0,0.0,197.0,19.0,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,0.0088591968629729,0.0006956827583264,0.3391794484724663,6.262199739224737e-05,0.0205673758865248,0.0008893107436088,0.3287723284662803,0.0026882722872907,True,True,False
2070,Buzzcar,2010,France,1.0,0,True,False,0,2.794660476152623,1,209.08985766048852,0.0,39.0,0.0,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0021058746641492,0.0004057272219282,0.2785428377220211,3.0343261202775674e-06,0.0127659574468085,0.0003342392910833,0.2952087390724985,0.0012142607062513,True,True,False
2181,Sonio,2020,France,7.0,2,True,True,2,13.182246,2,88.02319995532157,176.04639991064315,278.6666666666667,30.7,False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,0.0079878004502214,0.0005981043663051,0.3376099080516245,4.635545105175134e-05,0.0460992907801418,0.0073377369873056,0.3760417573398659,0.0128025238836847,True,True,True
3439,Futures Factory,2021,France,2.0,0,True,False,0,2.51451,1,342.60840402510934,0.0,203.0,12.7,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0190254883450729,0.0002730323075823,0.3677020987347468,0.0012560161610239,0.0141843971631205,0.0007469044344604,0.319388159249695,0.0019057612897568,False,False,False
2479,Hoopcare,2019,France,1.0,3,True,False,3,1.897141,1,4.439911831785372,8.879823663570743,88.0,50.5,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,0.00508314574105,0.0002103845205989,0.3302520846098667,0.0001352444576212,0.0390070921985815,0.0025196634031374,0.3561624394179411,0.0456503318992412,False,False,False
