Company ID,Organization Name,Founded Year,Headquarters Country,Number of Founders,Hub Binary,B2B Binary,Number Seed Rounds,Avg Seed Investor Distance,Avg Seed Investor Pairwise Distance,Average Seed Investors Portfolio Organizations,Number Seed Investors,Avg Age of Seed Investors,Specific VC in Seed Binary,Target VC in Seed Binary,Hub VC in Seed Binary,Accelerator Funding Binary,Angel Group Funding Binary,Micro VC Funding Binary,Corporate Venture Capital Funding Binary,Homecountry Investor in Seed Binary,Years to Seed,Total Seed Funding (M),Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,Other,Success,Exit Binary,Funding Success,Degree_Global,Betweenness_Global,Closeness_Global,Eigenvector_Global,Degree_HomeCountry,Betweenness_HomeCountry,Closeness_HomeCountry,Eigenvector_HomeCountry
9480,Pharetis,2007,Germany,2.0,False,True,1,0.0,0.0,99.0,1,0.0,False,False,True,False,False,False,False,True,1,3.769454793565684,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,0.003776051121922882,2.5914499077623036e-08,0.30437591344662707,0.00017103013171659284,0.02318034306907742,0.0,0.3260032376038506,0.002591423788206573
16667,Celentyx,2007,United Kingdom,2.0,False,True,1,20.37161518297243,0.0,112.0,1,0.0,False,False,False,False,False,False,False,True,0,2.792297772045591,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.003412969283276451,0.0,0.2770808577762229,9.004799589290733e-06,0.01053575431517597,0.0,0.2930377159674405,5.5845574725839895e-05
9062,MeinAuto,2007,Germany,1.0,False,False,1,455.84512501450354,0.0,241.0,1,7.0,False,True,False,False,False,False,False,True,0,3.769454793565684,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.005228378476508606,0.0,0.33152513844362785,0.0001605266183533118,0.02920723226703755,0.0,0.3623790268551161,0.0002788768839406086
16682,Sonik Sports,2007,United Kingdom,1.0,False,False,1,180.4131327540637,0.0,285.0,1,6.0,False,True,False,False,False,False,False,True,3,0.694767,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,0.009367511437077918,0.0,0.3007527263342703,0.0003234059231839178,0.02869311813494732,0.0,0.30363882322318503,0.001207097662330134
9509,Immunservice GmbH,2007,Germany,1.0,True,True,1,370.19550915568703,0.0,659.0,1,3.0,False,True,False,False,False,False,False,True,1,3.769454793565684,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,0.02301938857018372,0.0,0.34606679963528725,0.0014589604635191157,0.13537320352341214,0.0,0.41171896300586985,0.05761987901482019
9053,JobLeads,2007,Germany,1.0,True,False,1,370.19550915568703,0.0,659.0,1,6.0,False,True,False,False,False,False,False,True,4,3.769454793565684,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.02301938857018372,0.0,0.34606679963528725,0.0014589604635191157,0.13537320352341214,0.0,0.41171896300586985,0.05761987901482019
16673,Videoplaza,2007,United Kingdom,3.0,True,True,1,1434.8834064318592,0.0,145.0,1,5.0,False,True,False,False,False,False,False,False,1,0.662204,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.002033258296420013,0.0,0.3088862051498178,2.0352070635406284e-05,0.0011208249271463797,0.0,0.2782799240177918,2.24114536266993e-05
1517,AntVoice,2007,France,3.0,True,True,1,512.6931314063108,0.0,24.0,1,0.0,False,False,False,False,False,False,False,True,4,2.794660476152623,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,0.001161861883668579,7.08229074554944e-08,0.2904738016264156,2.5627081672995944e-06,0.009929078014184398,0.0,0.28956230729455923,0.0007656591976205669
16902,Deminos,2007,United Kingdom,2.0,True,True,2,399.0266537839707,0.0,285.0,1,6.0,False,True,False,False,False,False,False,True,3,0.274983,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.009367511437077918,0.0,0.3007527263342703,0.0003234059231839178,0.02869311813494732,0.0,0.30363882322318503,0.001207097662330134
2082,Veta France,2007,France,1.0,False,True,1,14.24482571933735,0.0,85.0,1,23.0,False,False,True,False,False,True,False,True,0,2.794660476152623,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.000798780045022148,0.0,0.2704225625869644,1.2284351204535384e-06,0.007801418439716313,0.0,0.2948705072449636,0.00163865953099343
